tweet,label,sanitized
Sorry No Comments ..I came here to read comments ..😜,1,Sorry Comments ..I came read comments ..😜
"Hi guys. I'm so happy and proud of myself and I thought I should share this with you!!! Today, I saw myself on TV, when I turned it off. 😝😝",1,"Hi guys. happy proud thought share you!!! Today, saw TV, turned off. 😝😝"
Hahahaha your intelligence 😜😜😜,1,Hahahaha intelligence 😜😜😜
Aqsa Naveed we were proud backbenchers 😜😜😂,1,Aqsa Naveed proud backbenchers 😜😜😂
Hemant extraordinary sketcher😝..right Ujjawal??,1,Hemant extraordinary sketcher😝..right Ujjawal??
Boys should respect them..!! 😜🔫,1,Boys respect them..!! 😜🔫
Your love bro😜,1,love bro😜
Bro u r handsome 😝🤣🤣,1,Bro r handsome 😝🤣🤣
This talent I don't have.. pls teach me Prani😜,1,talent not have.. pls teach Prani😜
Sunny Yadav wow wat an assumption😝,1,Sunny Yadav wow wat assumption😝
I will try my best for u drling😜😂,1,try best drling😜😂
"U can do this, I trust you 😜",1,"this, trust 😜"
"Learning from my guru.. ""Happy teacher's Day ""😝",1,"Learning guru.. ""Happy teacher's Day ""😝"
"Nothing comes easy...😜😀
#$elfiequeentitle",1,comes easy...😜😀 #$elfiequeentitle
Nice pose..will try it 😝,1,Nice pose..will try 😝
"And also, Kiran Gaware Patil with her newfound talent for mirror selfies.. 😏 (if you know what i mean) 😝",1,"also, Kiran Gaware Patil newfound talent mirror selfies.. 😏 (if know mean) 😝"
"Doesn't matter if i am going to the same place I'll still wear the same shirt.
I can wear one shirt for years 😝😂",1,not matter going place wear shirt. wear shirt years 😝😂
But sometimes parfume also can't covering that smell 😜😃,1,perfume not covering smell 😜😃
yeh....kind of........ but it depends which cloths make us comfortable.... so you must also wear the same cloths till it get dirt 😉😉😉.,1,yeh....kind of........ depends cloths comfortable.... wear cloths till dirt 😉😉😉.
Its big proud 😜😜,1,big proud 😜😜
Looking for my gorgeous soulmate while doing workout and studying intensively 😏,1,Looking gorgeous soulmate workout studying intensively 😏
Okay fine ladies . If you insist .... 😉😉😉,1,Okay fine ladies . insist .... 😉😉😉
Love you😉😘😘,1,Love you😉😘😘
Awesome 😜😜,1,Awesome 😜😜
Selfie with Flexiblity Skills😜😂,1,Selfie Flexiblity Skills😜😂
best joke eva😂😜,1,best joke eva😂😜
Y don't u giv a try....i ll be mind blowing.....😉😉😅,1,Y not try....i ll mind blowing.....😉😉😅
Correct 😜😜,1,Correct 😜😜
Wow she got PHD on selfie taking💋👅,1,Wow got PHD self taking💋👅
U deserve it dear 😙😜,1,deserve dear 😙😜
Cockroach in your room is cool na?😝,1,Cockroach room cool na?😝
Kinjal Zota...we are trustworthy u know...😝😝😋😋,1,Kinjal Zota...we trustworthy know...😝😝😋😋
Shervani U won't be able to climb the door.. that's y i tagged u 😹😹😹,1,Shervani not able climb door.. y tagged 😹😹😹
hahaha love you two 😝,1,sahara love 😝
Edi wow 👅👅👅,1,Edi wow 👅👅👅
I have a good idea......give me your ATM card.......I will definitely help out.... don't worry....😜😜😂😂😂😂😂,1,good idea......give ATM card.......I definitely help out.... not worry....😜😜😂😂😂😂😂
Wrong answer😜😜,1,Wrong answer😜😜
"Quite one, sleepy one, and.. The dumb one 😛",1,"one, sleepy one, and.. dumb 😛"
Not interested 😜😜,1,interested 😜😜
Hard worker 😝,1,Hard worker 😝
Nw u should giv me ur ATM card😝,1,Nw ur ATM card😝
hyperactive😜😝,1,hyperactive😜😝
I always thought of you as out of the earth type of guy !!😝😝😝,1,thought earth type guy !!😝😝😝
All rounder 😜,1,rounder 😜
"But you all call yourself as Selfie Queens...😜😂

So I am just saying, don't call yourself anymore until you haven't taken such selfie😂😂😂",1,"Selfie Queens...😜😂 saying, not anymore not taken selfie😂😂😂"
"Anil Kumar
I was gonna say that but there was one more who was more than me. So I thought of being selfless and giving them the award 😛😂",1,Anil Kumar going me. thought selfless giving award 😛😂
I don't wnna try this😝😏better for uh!!😂😂take it n upload..m waiting for uh😂,1,not anna try this😝😏better uh!!😂😂take n upload..m waiting uh😂
"iPhone owner, Pretty face and Still single😝😝😝😝",1,"iPhone owner, Pretty face single😝😝😝😝"
But i can wear same shirt for 10 days 😂😂😂 thanks perfume 😂😂😂,1,wear shirt 10 days 😂😂😂 thanks perfume 😂😂😂
"The worst comment in this post is the one above mine...😂😂😂😂

Make change if sarcasm put yours above mine.",1,worst comment post mine...😂😂😂😂 change sarcasm mine.
"Think about that! Really feel the pain 😂😂

Give me 500likes",1,Think that! feel pain 😂😂 500likes
Stupid!! No bank generates a pin that in reverse is the same....😂😂😂😂 This sarcasm is a lie,1,Stupid!! bank generates pin reverse same....😂😂😂😂 sarcasm lie
sorry for bringing education into it 😜,1,sorry bringing education 😜
 lovely to see ant and dec back again both looking as great as ever 😀🤗 looking forward to watching the celebs squirm 😜,1,lovely ant dec looking great 😀🤗 looking forward watching celebs squirm 😜
 must be spooning velcro girl so 😜,1,spooning velcro girl 😜
also my bed and my food 😜 ,1,bed food 😜
happy birthday bebeq 💕 u know how much iloveyouuu 😜 thankyou for everything uve done andito lang ako palagi for u… ,1,happy birthday bebe 💕 know iloveyouuu 😜 thankyou use audit lang ago palace you…
 i think its time for an intervention 😜,1,think time intervention 😜
doin the c jo 😜  prince of peace lutheran church - phoenix az ,1,doin c jo 😜 prince peace lutheran church - phoenix
let’s get it 😜 ,1,let 😜
close enough 😜 ,1,close 😜
7thwavegames wow… i said almost the exact same thing a year ago 😳  weird  i don’t remember saying that no churro for you 😜it does 😡 11tkm00xv 😂 only prompto is safe007graul  i’m just gonna have to accept it 😂5 weeks into the strike now they wanna decide to end it its just setting us up for failure 😡fc thats amazing alsohoe sad is it that 1860 munich are now in the forrh tier 😕hey shall getting ready eagles football let go 😕  mellis just a thought 😜   yeah nothing like live hockey,1,7thwavegames wow… said exact thing year ago 😳 weird not remember saying no church 😜it 😡 11tkm00xv 😂 prompt safe007graul going accept 😂5 weeks strike want decide end setting failure 😡fc amazing alcohol sad 1860 munich forth tier 😕hey shall getting ready eagles football let 😕 ellis thought 😜 yeah like live hockey
i think she has a pretty pussy and an amazing ass  so who admits to fapping to it i do 😜 ,1,think pretty pussy amazing ass admits mapping 😜
 also sorry for the spoilers 😜,1,sorry spoilers 😜
way to set ppl up 4 failure 4 their whole life 😡 dragonball xenoverse is kicking my ass rn 😡as if i actually saw mac demarco tonight 😭jaz made stuffed peppers for dinner 😜a broken thumb that’ll stop him kicking a ball 😂  does this mean that we get both 😂ogyi filhal tou earth per  😕lfc ch really  omg thanks  to quote bill o’reilly “fk it we’ll do it live”  😜  schumacher messed up 😡  trump lied again 😡and she’d think sneezing was the funniest thing 😭 latrice i unfollowed that cheat 😡i have two cats and two dogs never a dull moment here 😜 all i neeed we still cheetah girls after all these year 😂 i really would like some chocolate but i cant 😕he’s just jealous 😡 also,1,way set ppl 4 failure 4 life 😡 dragonball xenoverse kicking ass rn 😡as actually saw mac demarco tonight 😭jaz stuffed peppers dinner 😜a broken thumb that’ll stop kicking ball 😂 mean 😂ogyi filial earth 😕lfc ch omg thanks quote bill o’reilly “fk live” 😜 schumacher messed 😡 trump lied 😡and think sneezing funniest thing 😭 lattice followed cheat 😡i cats dogs dull moment 😜 need cheetah girls year 😂 like chocolate not 😕he jealous 😡
 i found this at home sense and thought of you 😜 ,1,found home sense thought 😜
